Grupo;Espécie;Classe;Ordem;Família;Gênero;scientificNameAuthorship;vernacularName;lifeForm
Angiosperms;Myrceugenia pilotantha;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;(Kiaersk.) Landrum;;Tree
Angiosperms;Myrceugenia rufescens;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;(DC.) D.Legrand & Kausel;;Tree
Angiosperms;Myrceugenia scutellata;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;D.Legrand;;Tree
Angiosperms;Myrceugenia seriatoramosa;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;(Kiaersk.) D.Legrand & Kausel;;Tree
Angiosperms;Myrceugenia venosa;Magnoliopsida;Myrtales;Myrtaceae;Myrceugenia;D.Legrand;;Tree
Angiosperms;Myrcia guianensis;Magnoliopsida;Myrtales;Myrtaceae;Myrcia;(Aubl.) DC.;cambui, guamirim, guamirim-branco;"Shrub;Subshrub;Tree"
Angiosperms;Myrcia hartwegiana;Magnoliopsida;Myrtales;Myrtaceae;Myrcia;(O.Berg) Kiaersk.;;Tree
Angiosperms;Myrcia hatschbachii;Magnoliopsida;Myrtales;Myrtaceae;Myrcia;D.Legrand;;Tree
Angiosperms;Myrcia hebepetala;Magnoliopsida;Myrtales;Myrtaceae;Myrcia;DC.;;Tree
Angiosperms;Myrcia legrandii;Magnoliopsida;Myrtales;Myrtaceae;Myrcia;A.R.Lourenço & E.Lucas;;Tree
Angiosperms;Myrcia multiflora;Magnoliopsida;Myrtales;Myrtaceae;Myrcia;(Lam.) DC.;;"Shrub;Tree"
Angiosperms;Myrcia neolucida;Magnoliopsida;Myrtales;Myrtaceae;Myrcia;A.R.Lourenço & E.Lucas;;Tree
Angiosperms;Myrcia oblongata;Magnoliopsida;Myrtales;Myrtaceae;Myrcia;DC.;;"Shrub;Tree"
Angiosperms;Myrcia palustris;Magnoliopsida;Myrtales;Myrtaceae;Myrcia;DC.;;Tree
Angiosperms;Myrcia reitzii;Magnoliopsida;Myrtales;Myrtaceae;Myrcia;(D.Legrand) Mazine;;Tree
Angiosperms;Myrcia selloi;Magnoliopsida;Myrtales;Myrtaceae;Myrcia;(Spreng.) N.Silveira;;"Shrub;Tree"
Angiosperms;Myrcia strigosa;Magnoliopsida;Myrtales;Myrtaceae;Myrcia;A.R.Lourenço & E.Lucas;;Tree
Angiosperms;Myrcianthes gigantea;Magnoliopsida;Myrtales;Myrtaceae;Myrcianthes;(D.Legrand) D.Legrand;;Tree
Angiosperms;Myrcianthes pungens;Magnoliopsida;Myrtales;Myrtaceae;Myrcianthes;(O.Berg) D.Legrand;;Tree
Angiosperms;Myrciaria cuspidata;Magnoliopsida;Myrtales;Myrtaceae;Myrciaria;O.Berg;;Tree
Angiosperms;Myrciaria delicatula;Magnoliopsida;Myrtales;Myrtaceae;Myrciaria;(DC.) O.Berg;;Tree
Angiosperms;Myrciaria floribunda;Magnoliopsida;Myrtales;Myrtaceae;Myrciaria;(H.West ex Willd.) O.Berg;;Tree
Angiosperms;Myrciaria tenella;Magnoliopsida;Myrtales;Myrtaceae;Myrciaria;(DC.) O.Berg;;Tree
Angiosperms;Myrocarpus frondosus;Magnoliopsida;Fabales;Fabaceae;Myrocarpus;Allemão;cabreuva, sapuvao;Tree
Angiosperms;Myroxylon peruiferum;Magnoliopsida;Fabales;Fabaceae;Myroxylon;L.f.;cabreuva, balsamo, oleo-vermelho, cabreuva-vermelha, caburayba;Tree
Angiosperms;Myrrhinium atropurpureum;Magnoliopsida;Myrtales;Myrtaceae;Myrrhinium;Schott;;"Shrub;Tree"
Angiosperms;Myrsine balansae;Magnoliopsida;Ericales;Primulaceae;Myrsine;(Mez) Otegui;;Tree
Angiosperms;Myrsine coriacea;Magnoliopsida;Ericales;Primulaceae;Myrsine;(Sw.) R.Br. ex Roem. & Schult.;capororoquinha;"Shrub;Tree"
Angiosperms;Myrsine umbellata;Magnoliopsida;Ericales;Primulaceae;Myrsine;Mart.;;Tree
Angiosperms;Nectandra lanceolata;Magnoliopsida;Laurales;Lauraceae;Nectandra;Nees;canela-amarela;Tree
Angiosperms;Nectandra megapotamica;Magnoliopsida;Laurales;Lauraceae;Nectandra;(Spreng.) Mez;canelinha, canela;Tree
Angiosperms;Nectandra membranacea;Magnoliopsida;Laurales;Lauraceae;Nectandra;(Sw.) Griseb.;canela-branca;Tree
Angiosperms;Nectandra paranaensis;Magnoliopsida;Laurales;Lauraceae;Nectandra;Coe-Teix.;;Tree
Angiosperms;Nectandra puberula;Magnoliopsida;Laurales;Lauraceae;Nectandra;(Schott) Nees;canela-amarela;Tree
Angiosperms;Nectandra reticulata;Magnoliopsida;Laurales;Lauraceae;Nectandra;(Ruiz & Pav.) Mez;canela-jacu;Tree
Angiosperms;Neomitranthes gemballae;Magnoliopsida;Myrtales;Myrtaceae;Neomitranthes;(D.Legrand) D.Legrand;;Tree
Angiosperms;Neomitranthes warmingiana;Magnoliopsida;Myrtales;Myrtaceae;Neomitranthes;(Kiaersk.) Mattos;;Tree
Angiosperms;Ocotea bicolor;Magnoliopsida;Laurales;Lauraceae;Ocotea;Vattimo-Gil;canela-branca, canela-fedida;Tree
Angiosperms;Ocotea glaziovii;Magnoliopsida;Laurales;Lauraceae;Ocotea;Mez;;Tree
Angiosperms;Ocotea nunesiana;Magnoliopsida;Laurales;Lauraceae;Ocotea;(Vattimo-Gil) J.B. Baitello;;Tree
Angiosperms;Ocotea porosa;Magnoliopsida;Laurales;Lauraceae;Ocotea;(Nees & Mart.) Barroso;;Tree
Angiosperms;Ocotea puberula;Magnoliopsida;Laurales;Lauraceae;Ocotea;(Rich.) Nees;louro, louro-abacate, canela-gosmenta, canela-babosa;Tree
Angiosperms;Oreopanax fulvus;Magnoliopsida;Apiales;Araliaceae;Oreopanax;Marchal;;Tree
Angiosperms;Pereskia grandifolia;Magnoliopsida;Caryophyllales;Cactaceae;Pereskia;Haw.;;"Shrub;Tree"
Angiosperms;Persea venosa;Magnoliopsida;Laurales;Lauraceae;Persea;Nees & Mart.;;Tree
Angiosperms;Persea willdenovii;Magnoliopsida;Laurales;Lauraceae;Persea;Kosterm.;;Tree
Angiosperms;Picramnia excelsa;Magnoliopsida;Picramniales;Picramniaceae;Picramnia;Kuhlm. ex Pirani;cedrico;Tree
Angiosperms;Picramnia parvifolia;Magnoliopsida;Picramniales;Picramniaceae;Picramnia;Engl.;cafezinho-do-mato, cedrinho, cedrico;"Shrub;Tree"
Angiosperms;Picrasma crenata;Magnoliopsida;Sapindales;Simaroubaceae;Picrasma;(Vell.) Engl.;pau-amargo, pau-tenente, tenente-jose;Tree
Angiosperms;Pilocarpus pennatifolius;Magnoliopsida;Sapindales;Rutaceae;Pilocarpus;Lem.;crista-de-peru, cutia, cutia-branca, guatambu, guaximbiricu, jaborandi, pau-de-cutia;Tree
Angiosperms;Pimenta pseudocaryophyllus;Magnoliopsida;Myrtales;Myrtaceae;Pimenta;(Gomes) Landrum;;Tree
Angiosperms;Piper aduncum;Magnoliopsida;Piperales;Piperaceae;Piper;L.;pimenta-longa, ti-nixpu-kaxinawa;"Shrub;Tree"
Angiosperms;Piptocarpha angustifolia;Magnoliopsida;Asterales;Asteraceae;Piptocarpha;Dusén ex Malme;vassouraozinho, vassourao-preto;Tree
Angiosperms;Piptocarpha axillaris;Magnoliopsida;Asterales;Asteraceae;Piptocarpha;(Less.) Baker;canela-podre, maria-mole, cambara-do-campo, vassourao;Tree
Angiosperms;Piptocarpha densifolia;Magnoliopsida;Asterales;Asteraceae;Piptocarpha;Dusén ex G. Lom. Sm.;vassouraozinho, cambara-branco;Tree
Angiosperms;Piptocarpha regnellii;Magnoliopsida;Asterales;Asteraceae;Piptocarpha;(Sch.Bip.) Cabrera;;Tree
Angiosperms;Pisonia ambigua;Magnoliopsida;Caryophyllales;Nyctaginaceae;Pisonia;Heimerl;maria-mole, maria-faceira;Tree
Angiosperms;Plinia peruviana;Magnoliopsida;Myrtales;Myrtaceae;Plinia;(Poir.) Govaerts;;Tree
Angiosperms;Plinia pseudodichasiantha;Magnoliopsida;Myrtales;Myrtaceae;Plinia;(Kiaersk.) G.M.Barroso ex Sobral;;Tree
Angiosperms;Plinia rivularis;Magnoliopsida;Myrtales;Myrtaceae;Plinia;(Cambess.) Rotman;;Tree
Gymnosperms;Podocarpus brasiliensis;Pinopsida;Pinales;Podocarpaceae;Podocarpus;Laubenf.;;Tree
Gymnosperms;Podocarpus lambertii;Pinopsida;Pinales;Podocarpaceae;Podocarpus;Klotzsch ex Endl.;;Tree
Gymnosperms;Podocarpus sellowii;Pinopsida;Pinales;Podocarpaceae;Podocarpus;Klotzsch ex Endl.;;Tree
Angiosperms;Posoqueria latifolia;Magnoliopsida;Gentianales;Rubiaceae;Posoqueria;(Rudge) Schult.;;"Shrub;Tree"
Angiosperms;Prockia crucis;Magnoliopsida;Malpighiales;Salicaceae;Prockia;P.Browne ex L.;;"Shrub;Tree"
Angiosperms;Pseudalbizzia edwallii;Magnoliopsida;Fabales;Fabaceae;Pseudalbizzia;(Hoehne) E.J.M.Koenen & Duno;;Tree
Angiosperms;Pseudalbizzia niopoides;Magnoliopsida;Fabales;Fabaceae;Pseudalbizzia;(Spruce ex Benth.) E.J.M.Koenen & Duno;;Tree
Angiosperms;Psidium araucanum;Magnoliopsida;Myrtales;Myrtaceae;Psidium;Soares-Silva & Proença;;Tree
Angiosperms;Psidium cattleyanum;Magnoliopsida;Myrtales;Myrtaceae;Psidium;Sabine;araca-amarelo, araca-de-coroa, araca;"Shrub;Tree"
Angiosperms;Psidium longipetiolatum;Magnoliopsida;Myrtales;Myrtaceae;Psidium;D.Legrand;;Tree
Angiosperms;Quillaja lancifolia;Magnoliopsida;Fabales;Quillajaceae;Quillaja;D.Don;pau-de-sabao, arvore-de-sabao, sabao-de-soldado, assa-toucinho, timbauva, timbuva, timbauvao, quillay, palo de jabon, arbol de jabon, saboeiro;Tree
Angiosperms;Raulinoreitzia leptophlebia;Magnoliopsida;Asterales;Asteraceae;Raulinoreitzia;(B.L.Rob.) R.M.King & H.Rob.;;"Shrub;Tree"
Angiosperms;Roupala consimilis;Magnoliopsida;Proteales;Proteaceae;Roupala;Mez;carvalho, carne-de-vaca;Tree
Angiosperms;Roupala montana;Magnoliopsida;Proteales;Proteaceae;Roupala;Aubl.;carne-de-vaca, carvalho-vermelho, congonha, carvalho, mijo-de-guara, sambaibinha;"Shrub;Tree"
Angiosperms;Rudgea gardenioides;Magnoliopsida;Gentianales;Rubiaceae;Rudgea;(Cham.) Müll.Arg.;arapoca, pau-de-doia, corticeira-da-mata, peroba-d'agua;Tree
Angiosperms;Rudgea jasminoides;Magnoliopsida;Gentianales;Rubiaceae;Rudgea;(Cham.) Müll.Arg.;jasmin-do-mato, cafe-do-mato, pimenteira-de-folha-larga, casca-d'anta, pasto-d'anta;"Shrub;Tree"
Angiosperms;Ruprechtia laxiflora;Magnoliopsida;Caryophyllales;Polygonaceae;Ruprechtia;Meisn.;;Tree
Angiosperms;Salix humboldtiana;Magnoliopsida;Malpighiales;Salicaceae;Salix;Willd.;louro-da-varzea, ourana, salseiro;Tree
Angiosperms;Sambucus australis;Magnoliopsida;Dipsacales;Adoxaceae;Sambucus;Cham. & Schltdl.;sabugueiro;"Shrub;Tree"
Angiosperms;Schaefferia argentinensis;Magnoliopsida;Celastrales;Celastraceae;Schaefferia;Speg.;;"Shrub;Tree"
Angiosperms;Schinus engleri;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;F.A.Barkley;;"Shrub;Tree"
Angiosperms;Schinus ferox;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;Hassl.;;"Shrub;Tree"
Angiosperms;Schinus longifolia;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;(Lindl.) Speg.;;"Shrub;Tree"
Angiosperms;Schinus molle;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;L.;aroeira-folha-de-salso, aroeira-mansa;Tree
Angiosperms;Schinus ramboi;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;F.A.Barkley;;"Shrub;Tree"
Angiosperms;Schinus spinosa;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;Engl.;;"Shrub;Tree"
Angiosperms;Schinus terebinthifolius;Magnoliopsida;Sapindales;Anacardiaceae;Schinus;Raddi;aroeira-da-praia, aroeira-de-remedio, aroeira-mansa, aroeira-vermelha, aroeira;"Shrub;Tree"
Angiosperms;Senna macranthera;Magnoliopsida;Fabales;Fabaceae;Senna;(DC. ex Collad.) H.S.Irwin & Barneby;manduirana;"Shrub;Tree"
Angiosperms;Sessea regnellii;Magnoliopsida;Solanales;Solanaceae;Sessea;Taub.;;Tree
Angiosperms;Siphoneugena reitzii;Magnoliopsida;Myrtales;Myrtaceae;Siphoneugena;D.Legrand;;Tree
Angiosperms;Sloanea guianensis;Magnoliopsida;Oxalidales;Elaeocarpaceae;Sloanea;(Aubl.) Benth.;urucurana;Tree
Angiosperms;Sloanea lasiocoma;Magnoliopsida;Oxalidales;Elaeocarpaceae;Sloanea;K.Schum.;;Tree
Angiosperms;Solanum bullatum;Magnoliopsida;Solanales;Solanaceae;Solanum;Vell.;;Tree
Angiosperms;Solanum cinnamomeum;Magnoliopsida;Solanales;Solanaceae;Solanum;Sendtn.;;Tree
Angiosperms;Solanum compressum;Magnoliopsida;Solanales;Solanaceae;Solanum;L.B.Sm. & Downs;;Tree
Angiosperms;Solanum diploconos;Magnoliopsida;Solanales;Solanaceae;Solanum;(Mart.) Bohs;;"Shrub;Tree"
Angiosperms;Solanum granulosoleprosum;Magnoliopsida;Solanales;Solanaceae;Solanum;Dunal;;Tree
Angiosperms;Solanum kleinii;Magnoliopsida;Solanales;Solanaceae;Solanum;L.B.Sm. & Downs;;"Shrub;Tree"
Angiosperms;Solanum lacerdae;Magnoliopsida;Solanales;Solanaceae;Solanum;Dusén;;"Shrub;Tree"
Angiosperms;Solanum mauritianum;Magnoliopsida;Solanales;Solanaceae;Solanum;Scop.;;"Shrub;Tree"
Angiosperms;Solanum pabstii;Magnoliopsida;Solanales;Solanaceae;Solanum;L.B.Sm. & Downs;;Tree
Angiosperms;Solanum paranense;Magnoliopsida;Solanales;Solanaceae;Solanum;Dusén;;"Shrub;Tree"
Angiosperms;Solanum pinetorum;Magnoliopsida;Solanales;Solanaceae;Solanum;(L.B.Sm. & Downs) Bohs;;"Shrub;Tree"
Angiosperms;Solanum pseudoquina;Magnoliopsida;Solanales;Solanaceae;Solanum;A.St.-Hil.;;Tree
Angiosperms;Solanum reitzii;Magnoliopsida;Solanales;Solanaceae;Solanum;L.B.Sm. & Downs;;Tree
Angiosperms;Solanum sanctae-catharinae;Magnoliopsida;Solanales;Solanaceae;Solanum;Dunal;;Tree
Angiosperms;Solanum sciadostylis;Magnoliopsida;Solanales;Solanaceae;Solanum;(Sendtn.) Bohs;;"Shrub;Tree"
Angiosperms;Solanum scuticum;Magnoliopsida;Solanales;Solanaceae;Solanum;M.Nee;jurubeba, jurubeba-verdadeira;"Shrub;Tree"
Angiosperms;Solanum variabile;Magnoliopsida;Solanales;Solanaceae;Solanum;Mart.;jurubeba;"Shrub;Tree"
Angiosperms;Strychnos brasiliensis;Magnoliopsida;Gentianales;Loganiaceae;Strychnos;(Spreng.) Mart.;;"Liana/scandent/vine;Shrub;Tree"
Angiosperms;Styrax leprosus;Magnoliopsida;Ericales;Styracaceae;Styrax;Hook. & Arn.;;Tree
Angiosperms;Syagrus romanzoffiana;Liliopsida;Arecales;Arecaceae;Syagrus;(Cham.) Glassman;geriva, jaroba, jeriva;Palm_tree
Angiosperms;Symphyopappus lymansmithii;Magnoliopsida;Asterales;Asteraceae;Symphyopappus;B.L.Rob.;;"Shrub;Tree"
Angiosperms;Symplocos celastrinea;Magnoliopsida;Ericales;Symplocaceae;Symplocos;Mart.;caa-vera, cha-de-bugre, congonha, caapoa, congonha-de-bugre, jabaozinho, k'a vera, mate-falso, peroba-d'agua;"Shrub;Tree"
Angiosperms;Symplocos estrellensis;Magnoliopsida;Ericales;Symplocaceae;Symplocos;Casar.;canela-conserva, catatu, congonha, congonha-de-folha-grande, mandioqueira, orelha-de-onca;"Shrub;Tree"
Angiosperms;Symplocos glandulosomarginata;Magnoliopsida;Ericales;Symplocaceae;Symplocos;Hoehne;bracunha, falsa-caneta, maria-mole;"Shrub;Tree"
Angiosperms;Symplocos kleinii;Magnoliopsida;Ericales;Symplocaceae;Symplocos;Bidá ex Aranha;;"Shrub;Tree"
Angiosperms;Symplocos nitidiflora;Magnoliopsida;Ericales;Symplocaceae;Symplocos;Brand;capororoca-falsa;"Shrub;Tree"
Angiosperms;Symplocos oblongifolia;Magnoliopsida;Ericales;Symplocaceae;Symplocos;Casar.;cascudinho-do-cerrado, congoinha, congonha, congonha-amarela, congonha-da-mata, congonha-da-serra, congonha-de-caixeta, congonha-do-campo, congonha-falsa, congonha-miuda, congonhao, corticeira, quina;"Shrub;Subshrub;Tree"
Angiosperms;Symplocos pentandra;Magnoliopsida;Ericales;Symplocaceae;Symplocos;(Mattos) Occhioni ex Aranha;congoinha, congonha, congonha-do-campo, maria-mole, veadeira-do-campo;"Shrub;Tree"
Angiosperms;Symplocos pubescens;Magnoliopsida;Ericales;Symplocaceae;Symplocos;Klotzsch ex Benth.;cinzeira-do-mato, congonha-do-campo, fruta-de-jacu, laranjinha, laranjinha-arroz-doce, pau-de-cinza;"Shrub;Tree"
Angiosperms;Symplocos pustulosa;Magnoliopsida;Ericales;Symplocaceae;Symplocos;Aranha;orelha-de-onca;"Shrub;Tree"
Angiosperms;Symplocos tenuifolia;Magnoliopsida;Ericales;Symplocaceae;Symplocos;Brand;capororoca, capororoquinha, carne-de-vaca, congonha, maria-mole, maria-mole-miuda, orelha-de-gato, pessegueiro-bravo, vauvu;"Shrub;Tree"
Angiosperms;Symplocos tetrandra;Magnoliopsida;Ericales;Symplocaceae;Symplocos;(Mart.) Mart.;cana-preta, cauna, cauna-preta, maria-mole, pau-de-cangalha, pessegueiro-bravo, sete-sangria, yvyra beui;"Shrub;Tree"
Angiosperms;Symplocos uniflora;Magnoliopsida;Ericales;Symplocaceae;Symplocos;(Pohl) Benth.;azavero, beira-mato-da-flor-branca, cangalha, caona, caujuja, cauna, cauna-do-mato, caveru, cinzeira, coana, congonha, congonha-falsa, congonha-miuda, jasmim-do-mato, kaa-vera, laranjeira-do-mato, laranjinha-do-mato, maria-mole, maria-mole-branca, maria-mole-de-flor-branca, maria-mole-de-flor-rosa, maria-mole-do-banhado, pau, pau-cangalha, pau-de-cangalha, sete-sangrias, sete-sangrias-do-banhado;"Shrub;Tree"
Angiosperms;Ternstroemia brasiliensis;Magnoliopsida;Ericales;Pentaphylacaceae;Ternstroemia;Cambess.;pororocao, pororoca-vermelha, majuruvoca, pinta-noiva, pinta-moca, bajuruvoca, bengue, mangue-de-formiga, guanandi-mole;"Shrub;Tree"
Angiosperms;Trichilia claussenii;Magnoliopsida;Sapindales;Meliaceae;Trichilia;C.DC.;;Tree
Angiosperms;Trichilia elegans;Magnoliopsida;Sapindales;Meliaceae;Trichilia;A.Juss.;;"Shrub;Tree"
Angiosperms;Trithrinax acanthocoma;Liliopsida;Arecales;Arecaceae;Trithrinax;Drude;carandai, butiti;Palm_tree
Angiosperms;Urera baccifera;Magnoliopsida;Rosales;Urticaceae;Urera;(L.) Gaudich. ex Wedd.;urgi;"Shrub;Tree"
Angiosperms;Urera caracasana;Magnoliopsida;Rosales;Urticaceae;Urera;(Jacq.) Griseb.;urtiga, urtiga-branca, urtiga-cipo;"Shrub;Tree"
Angiosperms;Vitex megapotamica;Magnoliopsida;Lamiales;Lamiaceae;Vitex;(Spreng.) Moldenke;;"Shrub;Tree"
Angiosperms;Ximenia americana;Magnoliopsida;Santalales;Ximeniaceae;Ximenia;L.;;"Shrub;Tree"
Angiosperms;Xylosma ciliatifolia;Magnoliopsida;Malpighiales;Salicaceae;Xylosma;(Clos) Eichler;assucara, espinho-de-agulha, coroa-de-cristo;"Shrub;Tree"
Angiosperms;Xylosma prockia;Magnoliopsida;Malpighiales;Salicaceae;Xylosma;(Turcz.) Turcz.;;"Shrub;Tree"
Angiosperms;Zanthoxylum fagara;Magnoliopsida;Sapindales;Rutaceae;Zanthoxylum;(L.) Sarg.;arruda-amarela, coentrilho, mamica-de-cadela, mamica-de-porca, mamica-de-porca-branca;Tree
Angiosperms;Zanthoxylum kleinii;Magnoliopsida;Sapindales;Rutaceae;Zanthoxylum;(R.S.Cowan) P.G.Waterman;juveve, tembetari;"Shrub;Tree"
Angiosperms;Zanthoxylum petiolare;Magnoliopsida;Sapindales;Rutaceae;Zanthoxylum;A.St.-Hil. & Tul.;catinga-de-bode, laranjeira-do-mato, laranjinha, limao-bravo, limaozinho, mamica-de-porca, pau-barrao, tembetaru;Tree
