Grupo;Espécie;Classe;Ordem;Família;Gênero;scientificNameAuthorship;vernacularName;lifeForm
Angiosperms;Celtis tarijensis;Magnoliopsida;Rosales;Cannabaceae;Celtis;(Wedd.) Zamengo, Chamorro & Oakley;;"Liana/scandent/vine;Shrub;Tree"
Angiosperms;Cestrum axillare;Magnoliopsida;Solanales;Solanaceae;Cestrum;Vell.;anilao, cairana, canema, coerana, coerana-branca, dama-da-noite, joao-mole, maria-branca, maria-preta, quarana;Tree
Angiosperms;Cestrum intermedium;Magnoliopsida;Solanales;Solanaceae;Cestrum;Sendtn.;coerana;"Shrub;Tree"
Angiosperms;Chionanthus filiformis;Magnoliopsida;Lamiales;Oleaceae;Chionanthus;(Vell.) P.S.Green;;Tree
Angiosperms;Chomelia obtusa;Magnoliopsida;Gentianales;Rubiaceae;Chomelia;Cham. & Schltdl.;rompe-gibao, tapaquita, quina-cruzeiro, limaorana;"Shrub;Tree"
Angiosperms;Cinnamodendron dinisii;Magnoliopsida;Canellales;Canellaceae;Cinnamodendron;Schwacke;pau-amargo, paratudo, pau-para-tudo, pimenteira;Tree
Angiosperms;Cinnamomum hirsutum;Magnoliopsida;Laurales;Lauraceae;Cinnamomum;(Lorea-Hern.) van der Werff;;Tree
Angiosperms;Cinnamomum pseudoglaziovii;Magnoliopsida;Laurales;Lauraceae;Cinnamomum;(Lorea-Hern.) Van der Werff;;Tree
Angiosperms;Citharexylum myrianthum;Magnoliopsida;Lamiales;Verbenaceae;Citharexylum;Cham.;;Tree
Angiosperms;Citharexylum solanaceum;Magnoliopsida;Lamiales;Verbenaceae;Citharexylum;Cham.;;"Shrub;Tree"
Angiosperms;Citronella apogon;Magnoliopsida;Cardiopteridales;Cardiopteridaceae;Citronella;(Griseb.) R.A.Howard;laurel;"Shrub;Tree"
Angiosperms;Citronella gongonha;Magnoliopsida;Cardiopteridales;Cardiopteridaceae;Citronella;(Mart.) R.A.Howard;congonha, congonha-de-bugre, congonha-do-sertao, congonha-falsa, erva-de-anta, falso-mate, inhane, yapon, yerba-de-palos-de-paraguayos;"Shrub;Tree"
Angiosperms;Clethra scabra;Magnoliopsida;Ericales;Clethraceae;Clethra;Pers.;carne-de-vaca, caujuja;"Shrub;Tree"
Angiosperms;Clethra uleana;Magnoliopsida;Ericales;Clethraceae;Clethra;Sleumer;caujuja-de-ule;"Shrub;Tree"
Angiosperms;Coccoloba glaziovii;Magnoliopsida;Caryophyllales;Polygonaceae;Coccoloba;Lindau;cabacu, folha-larga-da-mata, canacu;"Shrub;Tree"
Angiosperms;Coccoloba persicaria;Magnoliopsida;Caryophyllales;Polygonaceae;Coccoloba;Wedd.;;"Shrub;Tree"
Angiosperms;Coccoloba warmingii;Magnoliopsida;Caryophyllales;Polygonaceae;Coccoloba;Meisn.;cauacu, pau-de-cachimbo, caixao, catureiro-vermelho;"Shrub;Tree"
Angiosperms;Cordia ecalyculata;Magnoliopsida;Boraginales;Cordiaceae;Cordia;Vell.;cha-de-bugre;Tree
Angiosperms;Coussapoa microcarpa;Magnoliopsida;Rosales;Urticaceae;Coussapoa;(Schott) Rizzini;mata-pau;"Shrub;Tree"
Angiosperms;Coutarea hexandra;Magnoliopsida;Gentianales;Rubiaceae;Coutarea;(Jacq.) K.Schum.;capirona, capanca-vermelha;"Shrub;Tree"
Angiosperms;Cryptocarya aschersoniana;Magnoliopsida;Laurales;Lauraceae;Cryptocarya;Mez;canela-areia, canela-fogo;Tree
Angiosperms;Curitiba prismatica;Magnoliopsida;Myrtales;Myrtaceae;Curitiba;(D.Legrand) Salywon & Landrum;guamirim, cambui, mureira, murta, bosta-de-galinha;"Shrub;Tree"
Angiosperms;Cybistax antisyphilitica;Magnoliopsida;Lamiales;Bignoniaceae;Cybistax;(Mart.) Mart.;caroba-de-flor-verde, caroba-do-campo, espeguilla, fava-de-aranha, ipe-de-flor-verde, ipe-mandioca, ipe-mirim, ipe-verde, llangua, llangua colorado, orcco-huoranhuay, pau-de-mulato, taiiy hoby, yangua, yangua caspi, yangua tinctoria, carobinha-verde, cinco-chagas, ipe-pardo;Tree
Angiosperms;Dalbergia brasiliensis;Magnoliopsida;Fabales;Fabaceae;Dalbergia;Vogel;caroba-brava, jacaranda, marmeleiro;Tree
Angiosperms;Daphnopsis racemosa;Magnoliopsida;Malvales;Thymelaeaceae;Daphnopsis;Griseb.;embira-de-sapo, embira-pimenta;"Shrub;Tree"
Angiosperms;Daphnopsis sellowiana;Magnoliopsida;Malvales;Thymelaeaceae;Daphnopsis;Taub.;embira, embirinha;"Shrub;Tree"
Angiosperms;Dasyphyllum brasiliense;Magnoliopsida;Asterales;Asteraceae;Dasyphyllum;(Spreng.) Cabrera;;"Shrub;Tree"
Angiosperms;Dasyphyllum spinescens;Magnoliopsida;Asterales;Asteraceae;Dasyphyllum;(Less.) Cabrera;;Tree
Angiosperms;Diatenopteryx sorbifolia;Magnoliopsida;Sapindales;Sapindaceae;Diatenopteryx;Radlk.;;Tree
Ferns and Lycophytes;Dicksonia sellowiana;Polypodiopsida;Cyatheales;Dicksoniaceae;Dicksonia;Hook.;;Tree
Angiosperms;Diospyros inconstans;Magnoliopsida;Ericales;Ebenaceae;Diospyros;Jacq.;marmelinho, fruta-de-jacu;"Shrub;Tree"
Angiosperms;Drimys brasiliensis;Magnoliopsida;Canellales;Winteraceae;Drimys;Miers;;"Shrub;Tree"
Angiosperms;Duranta vestita;Magnoliopsida;Lamiales;Verbenaceae;Duranta;Cham.;;"Shrub;Tree"
Angiosperms;Endlicheria paniculata;Magnoliopsida;Laurales;Lauraceae;Endlicheria;(Spreng.) J.F.Macbr.;canela-frade, canela-garuva;"Shrub;Tree"
Angiosperms;Erythroxylum umbu;Magnoliopsida;Malpighiales;Erythroxylaceae;Erythroxylum;Costa-Lima;;"Shrub;Tree"
Angiosperms;Escallonia bifida;Magnoliopsida;Escalloniales;Escalloniaceae;Escallonia;Link & Otto;maria-mole, arbol de pito, canudo-de-pito, esponja-do-mato, escalonia;"Shrub;Tree"
Angiosperms;Escallonia farinacea;Magnoliopsida;Escalloniales;Escalloniaceae;Escallonia;A.St.-Hil.;esponja-do-mato, escalonia;"Shrub;Tree"
Angiosperms;Eugenia acutata;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;Miq.;;Tree
Angiosperms;Eugenia brasiliensis;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;Lam.;Grumixama, Grumixameira, Grumixaba, Cumbixaba, Ibaporoiti;Tree
Angiosperms;Eugenia burkartiana;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;(D.Legrand) D.Legrand;;Tree
Angiosperms;Eugenia cereja;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;D.Legrand;;Tree
Angiosperms;Eugenia chlorophylla;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;O.Berg;;Tree
Angiosperms;Eugenia dodonaeifolia;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;Cambess.;;Tree
Angiosperms;Eugenia gracillima;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;Kiaersk.;;Tree
Angiosperms;Eugenia handroana;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;D.Legrand;;Tree
Angiosperms;Eugenia handroi;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;(Mattos) Mattos;;Tree
Angiosperms;Eugenia hiemalis;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;Cambess.;;"Shrub;Tree"
Angiosperms;Eugenia involucrata;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;DC.;Cereja-do-rio-grande;"Shrub;Subshrub;Tree"
Angiosperms;Eugenia kleinii;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;D.Legrand;;Tree
Angiosperms;Eugenia multicostata;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;D.Legrand;;Tree
Angiosperms;Eugenia myrcianthes;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;Nied.;;"Shrub;Tree"
Angiosperms;Eugenia neomyrtifolia;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;Sobral;;"Shrub;Tree"
Angiosperms;Eugenia neoverrucosa;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;Sobral;;Tree
Angiosperms;Eugenia nutans;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;O.Berg;;Tree
Angiosperms;Eugenia oeidocarpa;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;O.Berg;;Tree
Angiosperms;Eugenia platysema;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;O.Berg;;Tree
Angiosperms;Eugenia pluriflora;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;DC.;;Tree
Angiosperms;Eugenia prasina;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;O.Berg;;Tree
Angiosperms;Eugenia pruinosa;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;D.Legrand;;Tree
Angiosperms;Eugenia pyriformis;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;Cambess.;Uvaia;"Shrub;Subshrub;Tree"
Angiosperms;Eugenia ramboi;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;D.Legrand;;Tree
Angiosperms;Eugenia repanda;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;O.Berg;Arrayan negro, mora, nangapiri negro, traste pelado;"Shrub;Tree"
Angiosperms;Eugenia sclerocalyx;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;D.Legrand;;"Shrub;Tree"
Angiosperms;Eugenia sonderiana;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;O.Berg;;"Shrub;Tree"
Angiosperms;Eugenia speciosa;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;Cambess.;;Tree
Angiosperms;Eugenia squamiflora;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;Mattos;;Tree
Angiosperms;Eugenia subterminalis;Magnoliopsida;Myrtales;Myrtaceae;Eugenia;DC.;;Tree
